workload,i,file,size,read_time,size_with_metadata,run
core,0.0,parquet,37413239.0,0.196868,,
core,0.0,orc,38468540.0,0.364375,,
core,0.0,btrblocks,44144434.0,53988.0,44144602.0,
geo,0.0,parquet,116094986.0,0.261397,,
geo,0.0,orc,108626537.0,0.368593,,
geo,0.0,btrblocks,134528231.0,328152.0,134528399.0,
classic,0.0,parquet,198249209.0,0.382169,,
classic,0.0,orc,183467312.0,0.425649,,
classic,0.0,btrblocks,206339125.0,529363.0,206339293.0,
log,0.0,parquet,23909928.0,0.172279,,
log,0.0,orc,17129111.0,0.24799,,
log,0.0,btrblocks,32344244.0,61266.0,32344412.0,
ml,0.0,parquet,85059568.0,0.250202,,
ml,0.0,orc,83054749.0,0.370857,,
ml,0.0,btrblocks,108679782.0,158682.0,108679950.0,
bi,0.0,parquet,31206759.0,0.190787,,
bi,0.0,orc,28144655.0,0.340252,,
bi,0.0,btrblocks,28230866.0,34672.0,28231034.0,
core,1.0,parquet,37413239.0,0.180986,,
core,1.0,orc,38468540.0,0.362029,,
core,1.0,btrblocks,44144434.0,50499.0,44144602.0,
geo,1.0,parquet,116094986.0,0.275626,,
geo,1.0,orc,108626537.0,0.364778,,
geo,1.0,btrblocks,134528231.0,327559.0,134528399.0,
classic,1.0,parquet,198249209.0,0.375073,,
classic,1.0,orc,183467312.0,0.407099,,
classic,1.0,btrblocks,206339125.0,532167.0,206339293.0,
log,1.0,parquet,23909928.0,0.172597,,
log,1.0,orc,17129111.0,0.247328,,
log,1.0,btrblocks,32344244.0,60722.0,32344412.0,
ml,1.0,parquet,85059568.0,0.253582,,
ml,1.0,orc,83054749.0,0.370562,,
ml,1.0,btrblocks,108679782.0,157959.0,108679950.0,
bi,1.0,parquet,31206759.0,0.192575,,
bi,1.0,orc,28144655.0,0.340928,,
bi,1.0,btrblocks,28230866.0,37642.0,28231034.0,
core,2.0,parquet,37413239.0,0.195934,,
core,2.0,orc,38468540.0,0.36193,,
core,2.0,btrblocks,44144434.0,50899.0,44144602.0,
geo,2.0,parquet,116094986.0,0.28142,,
geo,2.0,orc,108626537.0,0.382829,,
geo,2.0,btrblocks,134528231.0,326700.0,134528399.0,
classic,2.0,parquet,198249209.0,0.372638,,
classic,2.0,orc,183467312.0,0.417764,,
classic,2.0,btrblocks,206339125.0,529074.0,206339293.0,
log,2.0,parquet,23909928.0,0.173618,,
log,2.0,orc,17129111.0,0.249334,,
log,2.0,btrblocks,32344244.0,61417.0,32344412.0,
ml,2.0,parquet,85059568.0,0.266978,,
ml,2.0,orc,83054749.0,0.365518,,
ml,2.0,btrblocks,108679782.0,157956.0,108679950.0,
bi,2.0,parquet,31206759.0,0.197843,,
bi,2.0,orc,28144655.0,0.341259,,
bi,2.0,btrblocks,28230866.0,34591.0,28231034.0,
core,3.0,parquet,37413239.0,0.194528,,
core,3.0,orc,38468540.0,0.372846,,
core,3.0,btrblocks,44144434.0,53935.0,44144602.0,
geo,3.0,parquet,116094986.0,0.28235,,
geo,3.0,orc,108626537.0,0.379155,,
geo,3.0,btrblocks,134528231.0,331962.0,134528399.0,
classic,3.0,parquet,198249209.0,0.376174,,
classic,3.0,orc,183467312.0,0.419005,,
classic,3.0,btrblocks,206339125.0,529277.0,206339293.0,
log,3.0,parquet,23909928.0,0.175088,,
log,3.0,orc,17129111.0,0.241273,,
log,3.0,btrblocks,32344244.0,64923.0,32344412.0,
ml,3.0,parquet,85059568.0,0.25355,,
ml,3.0,orc,83054749.0,0.369973,,
ml,3.0,btrblocks,108679782.0,159550.0,108679950.0,
bi,3.0,parquet,31206759.0,0.193505,,
bi,3.0,orc,28144655.0,0.339206,,
bi,3.0,btrblocks,28230866.0,34765.0,28231034.0,
core,4.0,parquet,37413239.0,0.195152,,
core,4.0,orc,38468540.0,0.372629,,
core,4.0,btrblocks,44144434.0,50975.0,44144602.0,
geo,4.0,parquet,116094986.0,0.267961,,
geo,4.0,orc,108626537.0,0.383114,,
geo,4.0,btrblocks,134528231.0,330662.0,134528399.0,
classic,4.0,parquet,198249209.0,0.378122,,
classic,4.0,orc,183467312.0,0.407802,,
classic,4.0,btrblocks,206339125.0,530940.0,206339293.0,
log,4.0,parquet,23909928.0,0.170949,,
log,4.0,orc,17129111.0,0.259545,,
log,4.0,btrblocks,32344244.0,60864.0,32344412.0,
ml,4.0,parquet,85059568.0,0.252693,,
ml,4.0,orc,83054749.0,0.361614,,
ml,4.0,btrblocks,108679782.0,158024.0,108679950.0,
bi,4.0,parquet,31206759.0,0.193914,,
bi,4.0,orc,28144655.0,0.351453,,
bi,4.0,btrblocks,28230866.0,37413.0,28231034.0,
core,5.0,parquet,37413239.0,0.196162,,
core,5.0,orc,38468540.0,0.371824,,
core,5.0,btrblocks,44144434.0,51818.0,44144602.0,
geo,5.0,parquet,116094986.0,0.280381,,
geo,5.0,orc,108626537.0,0.37047,,
geo,5.0,btrblocks,134528231.0,327137.0,134528399.0,
classic,5.0,parquet,198249209.0,0.377016,,
classic,5.0,orc,183467312.0,0.428631,,
classic,5.0,btrblocks,206339125.0,530503.0,206339293.0,
log,5.0,parquet,23909928.0,0.169042,,
