type,feature,param,file,size
int,car,0.0001,parquet,8924240
int,car,0.0001,orc,10076737
int,car,0.0001,btrblocks,9829691
int,car,0.001,parquet,12436165
int,car,0.001,orc,16485417
int,car,0.001,btrblocks,13024895
int,car,0.01,parquet,19974339
int,car,0.01,orc,19994254
int,car,0.01,btrblocks,19585616
int,car,0.1,parquet,33384894
int,car,0.1,orc,33803063
int,car,0.1,btrblocks,25067420
int,car,0.2,parquet,43877020
int,car,0.2,orc,40865945
int,car,0.2,btrblocks,0
int,car,0.4,parquet,64284848
int,car,0.4,orc,54552790
int,car,0.4,btrblocks,0
int,car,0.7,parquet,83045494
int,car,0.7,orc,67179391
int,car,0.7,btrblocks,0
float,car,0.0001,parquet,14534096
float,car,0.0001,orc,16610035
float,car,0.0001,btrblocks,16172920
float,car,0.001,parquet,21093983
float,car,0.001,orc,32352753
float,car,0.001,btrblocks,24737303
float,car,0.01,parquet,31922429
float,car,0.01,orc,34508754
float,car,0.01,btrblocks,48637954
float,car,0.1,parquet,60830111
float,car,0.1,orc,64942716
float,car,0.1,btrblocks,94263815
float,car,0.2,parquet,84501728
float,car,0.2,orc,83010864
float,car,0.2,btrblocks,100925589
float,car,0.4,parquet,130225594
float,car,0.4,orc,119010811
float,car,0.4,btrblocks,108093408
float,car,0.7,parquet,168337555
float,car,0.7,orc,148600550
float,car,0.7,btrblocks,105234162
string,car,0.0001,parquet,8674724
string,car,0.0001,orc,9260692
string,car,0.0001,btrblocks,10342300
string,car,0.001,parquet,13030695
string,car,0.001,orc,16863671
string,car,0.001,btrblocks,18223350
string,car,0.01,parquet,24075901
string,car,0.01,orc,23406420
string,car,0.01,btrblocks,55531575
string,car,0.1,parquet,64822832
string,car,0.1,orc,64863434
string,car,0.1,btrblocks,174211493
string,car,0.2,parquet,137177527
string,car,0.2,orc,132309564
string,car,0.2,btrblocks,289228199
string,car,0.4,parquet,199864687
string,car,0.4,orc,187760014
string,car,0.4,btrblocks,294382003
string,car,0.7,parquet,251511091
string,car,0.7,orc,233525670
string,car,0.7,btrblocks,288215379
