type,feature,param,file,size
int,sort,0.01,parquet,32134365
int,sort,0.01,orc,37533293
int,sort,0.01,btrblocks,27625438
int,sort,0.2,parquet,37633210
int,sort,0.2,orc,37021998
int,sort,0.2,btrblocks,30298835
int,sort,0.4,parquet,22265078
int,sort,0.4,orc,24544951
int,sort,0.4,btrblocks,20703697
int,sort,0.6,parquet,15967644
int,sort,0.6,orc,17706406
int,sort,0.6,btrblocks,15635801
int,sort,0.8,parquet,5708699
int,sort,0.8,orc,7326186
int,sort,0.8,btrblocks,6890651
int,sort,1.0,parquet,6470672
int,sort,1.0,orc,5685927
int,sort,1.0,btrblocks,2967088
float,sort,0.01,parquet,95888010
float,sort,0.01,orc,92135764
float,sort,0.01,btrblocks,79985189
float,sort,0.2,parquet,77050108
float,sort,0.2,orc,73884970
float,sort,0.2,btrblocks,69855364
float,sort,0.4,parquet,65983854
float,sort,0.4,orc,60381929
float,sort,0.4,btrblocks,59705708
float,sort,0.6,parquet,46411743
float,sort,0.6,orc,41887969
float,sort,0.6,btrblocks,36845089
float,sort,0.8,parquet,21173370
float,sort,0.8,orc,18045238
float,sort,0.8,btrblocks,17991454
float,sort,1.0,parquet,17832439
float,sort,1.0,orc,15490235
float,sort,1.0,btrblocks,17389198
string,sort,0.01,parquet,260290325
string,sort,0.01,orc,250534627
string,sort,0.01,btrblocks,413111706
string,sort,0.2,parquet,95147269
string,sort,0.2,orc,92532077
string,sort,0.2,btrblocks,172082700
string,sort,0.4,parquet,114722846
string,sort,0.4,orc,108853670
string,sort,0.4,btrblocks,166090983
string,sort,0.6,parquet,28459895
string,sort,0.6,orc,28117360
string,sort,0.6,btrblocks,38412064
string,sort,0.8,parquet,15467891
string,sort,0.8,orc,14900120
string,sort,0.8,btrblocks,27262063
string,sort,1.0,parquet,23029816
string,sort,1.0,orc,20644358
string,sort,1.0,btrblocks,23657130
