type,feature,param,file,size
int,zipf,0.01,parquet,14017262
int,zipf,0.01,orc,16950040
int,zipf,0.01,btrblocks,14266945
int,zipf,0.2,parquet,13772173
int,zipf,0.2,orc,16583153
int,zipf,0.2,btrblocks,14418288
int,zipf,0.4,parquet,13723173
int,zipf,0.4,orc,16442523
int,zipf,0.4,btrblocks,13691063
int,zipf,0.6,parquet,13836138
int,zipf,0.6,orc,16510417
int,zipf,0.6,btrblocks,13552885
int,zipf,0.8,parquet,13785086
int,zipf,0.8,orc,16521427
int,zipf,0.8,btrblocks,13422983
int,zipf,1.0,parquet,13751525
int,zipf,1.0,orc,16485364
int,zipf,1.0,btrblocks,13064546
int,zipf,1.2,parquet,13572504
int,zipf,1.2,orc,15435447
int,zipf,1.2,btrblocks,12785452
int,zipf,1.4,parquet,12867213
int,zipf,1.4,orc,15147811
int,zipf,1.4,btrblocks,12545155
int,zipf,1.6,parquet,12284608
int,zipf,1.6,orc,14961493
int,zipf,1.6,btrblocks,12026378
int,zipf,1.8,parquet,11688772
int,zipf,1.8,orc,14831911
int,zipf,1.8,btrblocks,11734819
int,zipf,2.0,parquet,11236102
int,zipf,2.0,orc,14691411
int,zipf,2.0,btrblocks,11256918
float,zipf,0.01,parquet,104431257
float,zipf,0.01,orc,96443342
float,zipf,0.01,btrblocks,88503186
float,zipf,0.2,parquet,103850342
float,zipf,0.2,orc,95666372
float,zipf,0.2,btrblocks,88749030
float,zipf,0.4,parquet,102211486
float,zipf,0.4,orc,94156612
float,zipf,0.4,btrblocks,87760120
float,zipf,0.6,parquet,94791019
float,zipf,0.6,orc,87994608
float,zipf,0.6,btrblocks,82854760
float,zipf,0.8,parquet,78664327
float,zipf,0.8,orc,75152170
float,zipf,0.8,btrblocks,71624768
float,zipf,1.0,parquet,53057001
float,zipf,1.0,orc,55380747
float,zipf,1.0,btrblocks,54785455
float,zipf,1.2,parquet,37962805
float,zipf,1.2,orc,37604381
float,zipf,1.2,btrblocks,41933925
float,zipf,1.4,parquet,30855317
float,zipf,1.4,orc,33067953
float,zipf,1.4,btrblocks,33182319
float,zipf,1.6,parquet,27039023
float,zipf,1.6,orc,31315472
float,zipf,1.6,btrblocks,28255585
float,zipf,1.8,parquet,24731821
float,zipf,1.8,orc,30667185
float,zipf,1.8,btrblocks,24948954
float,zipf,2.0,parquet,23431222
float,zipf,2.0,orc,30198509
float,zipf,2.0,btrblocks,22604120
string,zipf,0.01,parquet,151079024
string,zipf,0.01,orc,139399868
string,zipf,0.01,btrblocks,171707449
string,zipf,0.2,parquet,164313579
string,zipf,0.2,orc,151813839
string,zipf,0.2,btrblocks,191895957
string,zipf,0.4,parquet,163608245
string,zipf,0.4,orc,150466717
string,zipf,0.4,btrblocks,195214501
string,zipf,0.6,parquet,150037750
string,zipf,0.6,orc,137957285
string,zipf,0.6,btrblocks,192501058
string,zipf,0.8,parquet,103612939
string,zipf,0.8,orc,96767029
string,zipf,0.8,btrblocks,149503308
string,zipf,1.0,parquet,58710526
string,zipf,1.0,orc,56923912
string,zipf,1.0,btrblocks,90725396
string,zipf,1.2,parquet,32581998
string,zipf,1.2,orc,29389753
string,zipf,1.2,btrblocks,54684817
string,zipf,1.4,parquet,22797549
string,zipf,1.4,orc,21527588
string,zipf,1.4,btrblocks,34722246
string,zipf,1.6,parquet,18667594
string,zipf,1.6,orc,18797787
string,zipf,1.6,btrblocks,24526181
string,zipf,1.8,parquet,16550748
string,zipf,1.8,orc,17663976
string,zipf,1.8,btrblocks,19689826
string,zipf,2.0,parquet,15062535
string,zipf,2.0,orc,16855555
string,zipf,2.0,btrblocks,16566130
