Column,uncompressed,compressed
1_col0,106757407,8089659
2_col1,112893227,49137308
3_col2,136388184,116214976
4_col3,102671986,83296513
5_col4,35076133,996026
6_col5,120934939,298122
7_col6,122152142,42352722
8_col7,12821417,3487365
9_col8,116164626,41831574
10_col9,97676913,49688604
11_col10,108107369,3815640
12_col11,149062362,95243
13_col12,111324445,104049812
14_col13,111956299,38662598
15_col14,82117767,93423
16_col15,114891264,54864
17_col16,116260352,99256591
18_col17,95747205,184832
19_col18,108488136,1267327
20_col19,110336411,139048
Total,2071828584,643012247
